Passengers (All Carriers - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"48,054,917","9,578,435","57,633,352"
2002,11,"44,850,246","9,016,535","53,866,781"
2002,12,"49,684,353","10,038,794","59,723,147"
2002,TOTAL,"551,899,643","118,704,850","670,604,493"
2003,1,"43,032,450","9,726,436","52,758,886"
2003,2,"41,166,780","8,283,372","49,450,152"
2003,3,"49,992,700","9,538,653","59,531,353"
2003,4,"47,033,260","8,309,305","55,342,565"
2003,5,"49,152,352","8,801,873","57,954,225"
2003,6,"52,209,516","10,347,900","62,557,416"
2003,7,"55,810,773","11,705,206","67,515,979"
2003,8,"53,920,973","11,799,672","65,720,645"
2003,9,"44,213,408","9,454,647","53,668,055"
2003,10,"49,944,935","9,608,358","59,553,293"
2003,11,"47,059,495","9,481,886","56,541,381"
2003,12,"49,757,124","10,512,547","60,269,671"
2003,TOTAL,"583,293,766","117,569,855","700,863,621"
2004,1,"43,815,481","10,252,443","54,067,924"
2004,2,"45,306,644","9,310,317","54,616,961"
2004,3,"54,147,227","10,976,440","65,123,667"
2004,4,"53,253,194","10,802,022","64,055,216"
2004,5,"53,030,873","10,971,254","64,002,127"
2004,6,"56,959,142","12,159,514","69,118,656"
2004,7,"59,614,287","13,502,913","73,117,200"
2004,8,"57,380,873","13,203,566","70,584,439"
2004,9,"47,671,785","10,570,682","58,242,467"
2004,10,"54,167,489","10,772,177","64,939,666"
2004,11,"51,782,564","10,174,320","61,956,884"
2004,12,"52,640,057","11,244,427","63,884,484"
2004,TOTAL,"629,769,616","133,940,075","763,709,691"
2005,1,"47,977,657","11,387,275","59,364,932"
2005,2,"47,074,882","9,945,067","57,019,949"
2005,3,"58,838,975","12,479,643","71,318,618"
2005,4,"54,908,859","11,521,174","66,430,033"
2005,5,"57,323,876","12,164,600","69,488,476"
2005,6,"59,724,061","13,140,061","72,864,122"
2005,7,"62,396,446","14,421,209","76,817,655"
2005,8,"59,110,633","13,703,334","72,813,967"
2005,9,"50,600,325","11,325,800","61,926,125"
2005,10,"53,738,093","11,107,586","64,845,679"
2005,11,"52,766,404","10,580,099","63,346,503"
2005,12,"52,801,276","11,812,574","64,613,850"
2005,TOTAL,"657,261,487","143,588,422","800,849,909"
2006,1,"48,886,043","11,724,098","60,610,141"
2006,2,"47,348,142","10,167,275","57,515,417"
2006,3,"58,286,011","12,707,241","70,993,252"
2006,4,"55,828,555","12,619,137","68,447,692"
2006,5,"57,145,193","12,610,793","69,755,986"
2006,6,"59,297,121","13,690,835","72,987,956"
2006,7,"60,838,606","14,912,621","75,751,227"
2006,8,"58,303,233","14,171,796","72,475,029"
2006,9,"49,949,551","12,010,922","61,960,473"
2006,10,"55,088,986","11,517,228","66,606,214"
2006,11,"53,852,209","11,222,687","65,074,896"
2006,12,"53,538,970","12,385,958","65,924,928"
2006,TOTAL,"658,362,620","149,740,591","808,103,211"
2007,1,"50,022,168","12,072,442","62,094,610"
2007,2,"47,766,421","10,591,580","58,358,001"
2007,3,"59,244,232","13,247,375","72,491,607"
2007,4,"57,398,267","12,795,517","70,193,784"
2007,5,"59,285,571","12,972,589","72,258,160"
2007,6,"61,493,934","14,170,877","75,664,811"
2007,7,"63,457,403","15,470,687","78,928,090"
2007,8,"62,660,179","15,131,296","77,791,475"
2007,9,"52,310,402","12,332,434","64,642,836"
2007,10,"57,208,618","12,392,938","69,601,556"
2007,11,"55,047,116","12,023,481","67,070,597"
2007,12,"53,291,139","13,123,756","66,414,895"
2007,TOTAL,"679,185,450","156,324,972","835,510,422"
2008,1,"50,245,100","12,794,514","63,039,614"
2008,2,"50,118,363","11,677,400","61,795,763"
2008,3,"59,213,077","14,221,964","73,435,041"
2008,4,"55,611,053","12,983,854","68,594,907"
2008,5,"58,047,400","13,628,619","71,676,019"
2008,6,"59,559,171","14,447,504","74,006,675"
2008,7,"61,401,480","15,488,628","76,890,108"
2008,8,"58,966,473","15,369,492","74,335,965"
2008,9,"47,680,101","11,759,694","59,439,795"
2008,10,"52,956,023","11,952,515","64,908,538"
2008,11,"47,658,141","11,288,311","58,946,452"
2008,12,"50,253,800","12,499,216","62,753,016"
2008,TOTAL,"651,710,182","158,111,711","809,821,893"
2009,1,"44,825,056","12,075,267","56,900,323"
2009,2,"43,680,328","10,412,676","54,093,004"
2009,3,"53,534,891","12,508,793","66,043,684"
2009,4,"52,247,781","12,629,805","64,877,586"
2009,5,"52,951,246","11,806,548","64,757,794"
2009,6,"55,898,027","13,199,636","69,097,663"
2009,7,"59,468,957","14,953,615","74,422,572"
2009,8,"56,568,180","14,844,821","71,413,001"
2009,9,"48,235,025","11,659,775","59,894,800"
2009,10,"52,279,405","11,905,529","64,184,934"
2009,11,"48,584,832","11,093,714","59,678,546"
2009,12,"49,793,527","12,659,154","62,452,681"
2009,TOTAL,"618,067,255","149,749,333","767,816,588"
2010,1,"45,501,620","12,393,439","57,895,059"
2010,2,"42,440,614","10,694,165","53,134,779"
2010,3,"54,424,077","13,279,320","67,703,397"
2010,4,"52,498,074","12,398,700","64,896,774"
2010,5,"53,842,422","13,380,664","67,223,086"
2010,6,"56,689,853","14,406,776","71,096,629"
2010,7,"59,142,493","16,026,852","75,169,345"
2010,8,"57,370,748","15,317,926","72,688,674"
2010,9,"50,304,708","12,599,149","62,903,857"
2010,10,"54,826,050","12,874,707","67,700,757"
2010,11,"51,420,519","11,651,314","63,071,833"
2010,12,"51,076,415","12,917,451","63,993,866"
2010,TOTAL,"629,537,593","157,940,463","787,478,056"
2011,1,"46,305,000","12,668,763","58,973,763"
2011,2,"43,657,818","10,944,610","54,602,428"
2011,3,"55,649,428","13,473,705","69,123,133"
2011,4,"52,858,479","13,537,152","66,395,631"
2011,5,"55,982,234","13,935,132","69,917,366"
2011,6,"57,778,699","14,814,672","72,593,371"
2011,7,"60,310,568","16,623,674","76,934,242"
2011,8,"57,403,835","15,753,438","73,157,273"
2011,9,"50,982,170","13,220,884","64,203,054"
2011,10,"54,124,363","13,199,913","67,324,276"
2011,11,"51,660,083","12,156,133","63,816,216"
2011,12,"51,534,990","13,559,050","65,094,040"
2011,TOTAL,"638,247,667","163,887,126","802,134,793"
2012,1,"47,080,840","13,206,801","60,287,641"
2012,2,"46,405,385","11,732,944","58,138,329"
2012,3,"56,200,391","14,387,677","70,588,068"
2012,4,"53,691,570","13,995,377","67,686,947"
2012,5,"55,749,349","14,291,285","70,040,634"
2012,6,"57,903,293","15,582,335","73,485,628"
2012,7,"59,688,267","16,969,590","76,657,857"
2012,8,"58,646,304","16,616,643","75,262,947"
2012,9,"50,134,504","13,791,714","63,926,218"
2012,10,"53,779,646","13,397,785","67,177,431"
2012,11,"51,844,482","12,763,847","64,608,329"
2012,12,"51,165,451","14,097,885","65,263,336"
2012,TOTAL,"642,289,482","170,833,883","813,123,365"
2013,1,"47,816,859","13,768,819","61,585,678"
2013,2,"45,740,158","12,037,584","57,777,742"
2013,3,"56,564,538","15,188,333","71,752,871"
2013,4,"53,228,575","14,301,619","67,530,194"
2013,5,"56,562,929","15,353,665","71,916,594"
2013,6,"57,990,789","16,403,199","74,393,988"
2013,7,"59,310,478","17,748,869","77,059,347"
2013,8,"58,115,405","17,666,442","75,781,847"
2013,9,"50,766,098","14,368,204","65,134,302"
2013,10,"54,706,246","14,341,721","69,047,967"
2013,11,"50,542,543","13,260,466","63,803,009"
2013,12,"54,332,936","15,205,588","69,538,524"
2013,TOTAL,"645,677,554","179,644,509","825,322,063"
2014,1,"47,957,371","14,692,606","62,649,977"
2014,2,"45,513,184","12,482,600","57,995,784"
2014,3,"57,762,170","15,604,456","73,366,626"
2014,4,"55,247,482","15,471,267","70,718,749"
2014,5,"57,888,637","16,338,378","74,227,015"
2014,6,"59,262,095","17,361,717","76,623,812"
2014,7,"61,757,698","18,784,523","80,542,221"
2014,8,"59,758,814","18,784,355","78,543,169"
2014,9,"52,529,472","14,985,203","67,514,675"
2014,10,"57,084,923","14,981,228","72,066,151"
2014,11,"52,578,037","13,730,768","66,308,805"
2014,12,"55,487,072","15,805,756","71,292,828"
2014,TOTAL,"662,826,955","189,022,857","851,849,812"
2015,1,"49,727,992","15,467,163","65,195,155"
2015,2,"47,164,898","13,325,293","60,490,191"
2015,3,"59,557,626","16,342,061","75,899,687"
2015,4,"57,698,342","16,025,595","73,723,937"
2015,5,"60,252,607","17,115,194","77,367,801"
2015,6,"61,811,276","18,203,199","80,014,475"
2015,7,"65,129,348","20,215,002","85,344,350"
2015,8,"62,770,806","19,914,264","82,685,070"
2015,9,"55,989,599","16,111,956","72,101,555"
2015,10,"60,892,617","16,188,843","77,081,460"
2015,11,"57,150,828","14,846,611","71,997,439"
2015,12,"57,870,955","16,859,827","74,730,782"
2015,TOTAL,"696,016,894","200,615,008","896,631,902"
2016,1,"52,474,245","16,492,079","68,966,324"
2016,2,"51,111,616","14,421,545","65,533,161"
2016,3,"61,593,610","17,382,692","78,976,302"
2016,4,"58,894,278","16,596,730","75,491,008"
2016,5,"62,752,723","17,868,001","80,620,724"
2016,6,"64,757,943","19,407,251","84,165,194"
2016,7,"66,135,126","21,435,123","87,570,249"
2016,8,"63,498,615","20,654,207","84,152,822"
2016,9,"58,620,581","17,161,889","75,782,470"
2016,10,"61,709,421","16,905,446","78,614,867"
2016,11,"59,269,837","15,653,035","74,922,872"
2016,12,"59,178,833","18,014,473","77,193,306"
2016,TOTAL,"719,996,828","211,992,471","931,989,299"
2017,1,"54,109,329","17,488,782","71,598,111"
2017,2,"51,078,172","14,709,988","65,788,160"
2017,3,"63,963,808","17,910,122","81,873,930"
2017,4,"61,099,004","18,686,523","79,785,527"
2017,5,"64,442,977","18,865,393","83,308,370"
2017,6,"66,746,463","20,676,407","87,422,870"
2017,7,"68,575,481","22,690,243","91,265,724"
2017,8,"66,664,019","22,013,119","88,677,138"
2017,9,"57,144,508","17,438,756","74,583,264"
2017,10,"64,625,405","17,604,236","82,229,641"
2017,11,"61,911,765","16,476,642","78,388,407"
2017,12,"61,374,167","18,469,636","79,843,803"
2017,TOTAL,"741,735,098","223,029,847","964,764,945"
2018,1,"55,831,159","17,897,787","73,728,946"
2018,2,"54,078,219","15,720,901","69,799,120"
2018,3,"66,644,135","19,716,774","86,360,909"
2018,4,"64,557,780","19,111,955","83,669,735"
2018,5,"67,846,119","20,126,585","87,972,704"
2018,6,"70,279,158","22,046,732","92,325,890"
2018,7,"72,540,389","23,754,573","96,294,962"
2018,8,"70,338,563","22,909,627","93,248,190"
2018,9,"60,468,575","18,051,374","78,519,949"
2018,10,"67,082,086","18,830,854","85,912,940"
2018,11,"64,660,022","17,552,376","82,212,398"
2018,12,"63,646,582","19,520,179","83,166,761"
2018,TOTAL,"777,972,787","235,239,717","1,013,212,504"
2019,1,"58,034,262","18,690,817","76,725,079"
2019,2,"55,679,481","16,280,536","71,960,017"
2019,3,"70,234,684","20,295,947","90,530,631"
2019,4,"66,938,654","20,019,304","86,957,958"
2019,5,"71,365,660","20,995,113","92,360,773"
2019,6,"72,790,418","22,747,453","95,537,871"
2019,7,"75,281,916","23,907,859","99,189,775"
2019,8,"72,729,540","23,239,338","95,968,878"
2019,9,"63,991,365","18,842,310","82,833,675"
2019,10,"69,936,836","18,973,444","88,910,280"
2019,11,"64,827,107","17,555,127","82,382,234"
2019,12,"69,737,246","19,610,834","89,348,080"
2019,TOTAL,"811,547,169","241,158,082","1,052,705,251"
2020,1,"61,627,591","18,780,246","80,407,837"
2020,2,"59,861,339","15,605,471","75,466,810"
2020,3,"34,417,329","8,844,908","43,262,237"
2020,4,"2,879,554","392,940","3,272,494"
2020,5,"8,238,727","366,354","8,605,081"
2020,6,"16,207,064","785,024","16,992,088"
2020,7,"22,873,879","1,809,616","24,683,495"
2020,8,"23,910,181","2,210,546","26,120,727"
2020,9,"23,849,618","2,189,137","26,038,755"
2020,TOTAL,"253,865,282","50,984,242","304,849,524"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,