Month/Year,License Class,Trips Per Day
2019-01,Yellow,247315
2019-02,Yellow,250654
2019-03,Yellow,252634
2019-04,Yellow,247742
2019-05,Yellow,244017
2019-06,Yellow,231335
2019-07,Yellow,202443
2019-08,Yellow,194798
2019-09,Yellow,217747
2019-10,Yellow,231171
2019-11,Yellow,227654
2019-12,Yellow,220786
2020-01,Yellow,206604
2020-02,Yellow,217216
2020-03,Yellow,96993
2020-04,Yellow,7928
2020-05,Yellow,11237
2020-06,Yellow,18325
2020-07,Yellow,25816
2020-08,Yellow,32491
2020-09,Yellow,44646
2020-10,Yellow,54221
2020-11,Yellow,50285
2020-12,Yellow,47145
2021-01,Yellow,44052
2021-02,Yellow,48499