Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Drivers,Unique Vehicles,Vehicles Per Day,Avg Days Vehicles on Road,Avg Hours Per Day Per Vehicle,Avg Days Drivers on Road,Avg Hours Per Day Per Driver,Avg Minutes Per Trip,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2021-02,FHV - High Volume,"414,755", - ,"47,206","47,267","28,637",17,7.1,17.1,7.1,16,-,-
2021-02,Green,"2,305","52,276",904,881,446,14.2,4.1,13.9,4.1,18.8,79%,-
2021-02,Yellow,"48,499","755,115","5,277","4,496","3,182",19.8,7.9,17.6,7.6,12.4,76%,-
2021-01,FHV - Black Car,"10,386", - ,"3,816","3,806","1,752",14.3,4.4,14.3,4.4,22,-,-
2021-01,FHV - High Volume,"383,932",,"47,622","47,592","28,582",18.6,6.9,18.7,6.8,15,-,-
2021-01,FHV - Livery,"23,890", - ,"5,132","5,030","3,086",19,5.1,18.9,5,15,-,-
2021-01,FHV - Lux Limo,528, - ,793,769,264,10.7,2,10.5,1.9,50,-,-
2021-01,Green,"2,467","56,409",991,982,491,15.5,4.1,15.5,4,17.4,79%,-
2021-01,Yellow,"44,052","688,811","5,396","4,625","3,256",21.8,7.5,19.4,7.3,11.6,75%,-
2020-12,FHV - Black Car,"11,293",,"4,217","4,187","1,915",14.2,4.5,14.1,4.5,22,-,-
2020-12,FHV - High Volume,"374,990",-,"51,525","51,534","32,488",19.5,6.5,19.7,6.5,16,-,-
2020-12,FHV - Livery,"24,385",,"5,474","5,372","3,281",18.9,5,18.8,5,16,-,-
2020-12,FHV - Lux Limo,475,,749,724,237,10.2,2,10,1.9,57,-,-
2020-12,Green,"2,681","60,329","1,095","1,087",560,16,3.9,16,3.9,18.1,76%,-
2020-12,Yellow,"47,145","744,835","6,092","5,142","3,757",22.7,7.4,19.8,7.1,12.4,75%,-
2020-11,FHV - Black Car,"11,825",-,"4,460","4,458","2,013",13.6,4.5,13.6,4.5,24,-,-
2020-11,FHV - High Volume,"386,122",-,"52,996","52,928","34,062",19.3,6.4,19.5,6.4,16,-,-
2020-11,FHV - Livery,"24,674",-,"5,319","5,230","3,327",19.1,5,19.1,4.9,16,-,-
2020-11,FHV - Lux Limo,457,-,722,698,230,9.9,2,9.8,1.9,59,-,-
2020-11,Green,"2,953","66,505","1,137","1,106",610,16.6,4,16.4,3.9,18.2,77%,-
2020-11,Yellow,"50,285","786,213","6,314","5,208","3,868",22.3,7.5,19.2,7.2,12.4,76%,-
2020-10,FHV - Black Car,"10,932", - ,"4,237","4,215","1,954",14.4,4.4,14.4,4.3,24,-,-
2020-10,FHV - High Volume,"427,396", - ,"52,379","52,290","33,969",20.1,6.8,20.3,6.7,17,-,-
2020-10,FHV - Livery,"24,640", - ,"5,398","5,272","3,306",19.4,5.1,19.3,5,17,-,-
2020-10,FHV - Lux Limo,527, - ,840,802,264,10.2,2,9.9,1.9,61,-,-
2020-10,Green,"3,067","68,559","1,137","1,117",605,16.8,4.1,16.7,4.1,18.4,76%,-
2020-10,Yellow,"54,221","880,080","6,144","5,092","3,728",22.7,8,19.7,7.6,12.6,76%,-
2020-09,FHV - Black Car,"12,762",-,"4,539","4,543","2,160",14.3,4.5,14.3,4.5,25,-,-
2020-09,FHV - High Volume,"403,515",-,"50,614","50,419","31,556",18.8,6.9,21.2,6.9,17.5,-,-
2020-09,FHV - Livery,"24,339",-,"5,102","4,974","3,204",19.3,5.1,19.1,5,17,-,-
2020-09,FHV - Lux Limo,479,-,743,718,234,9.8,2,9.7,2,63,-,-
2020-09,Green,"2,932","66,854","1,123","1,100",575,15.7,4.1,15.5,4.1,18.6,76%,-
2020-09,Yellow,"44,646","707,226","5,706","4,910","3,257",19.9,7.6,17.8,7.3,12.5,73%,-
2020-08,FHV - Black Car,"9,723",-,"3,838","3,856","1,673",13.5,4.4,13.5,4.4,24,-,-
2020-08,FHV - High Volume,"357,610",-,"48,984","48,680","28,731",18.3,6.7,18.4,6.6,17,-,-
2020-08,FHV - Livery,"25,507",-,"5,405","5,291","3,263",19.1,5.2,19,5.1,17,-,-
2020-08,FHV - Lux Limo,449,-,694,691,207,9.3,2.1,9.4,2.1,56,-,-
2020-08,Green,"2,614","62,686","1,142","1,127",544,15,4,15,3.9,18.7,74%,-
2020-08,Yellow,"32,491","548,752","5,371","4,754","2,790",18.2,6.9,16.7,6.6,12.6,70%,-
2020-07,FHV - Black Car,8692, - ,"3,113","3,128","1,446",14.3,4.6,14.4,4.6,25, - ,-
2020-07,FHV - High Volume,"320,999", - ,"38,310","38,380","21,221",17.1,7.2,17.3,7.2,16,-,-
2020-07,FHV - Livery,23110, - ,"4,473","4,318","2,760",19.8,5.5,19.4,5.4,17, - , - 
2020-07,FHV - Lux Limo,436, - ,597,567,186,10.2,2.3,9.8,2.3,52, - , - 
2020-07,Green,"2,330","54,821",937,925,430,14.4,4.3,14.4,4.2,18.1,73%,-
2020-07,Yellow,"25,816","438,974","3,988","3,803","1,952",15.9,7.1,15.7,6.8,12.5,69%,-
2020-06,FHV - Black Car,"9,323", - ,"3,157","3,165","1,533",14.5,4.6,14.6,4.6,22,-,-
2020-06,FHV - High Volume,"251,696", - ,"29,832","30,131","17,665",17.6,7.1,17.9,7,16,-,-
2020-06,FHV - Livery,"22,723", - ,"4,250","4,192","2,770",19.8,5.3,19.8,5.3,16,-,-
2020-06,FHV - Lux Limo,315, - ,447,431,141,9.9,2.2,9.7,2.1,51,-,-
2020-06,Green,"2,103","46,850",856,850,408,14.4,4.1,14.5,4,17.5,71%,-
2020-06,Yellow,"18,325","314,459","2,969","2,965","1,554",15.7,6.7,16.2,6.5,12.4,68%,-
2020-05,FHV - Black Car,"6,180",-,"2,851","2,861","1,186",12.9,4.1,12.9,4.1,20,-,-
2020-05,FHV - High Volume,"196,447",-,"27,675","27,881","16,073",17.9,6.4,18.1,6.4,15,-,-
2020-05,FHV - Livery,"17,042",-,"3,874","3,838","2,329",18.8,4.9,18.9,4.9,14,-,-
2020-05,FHV - Lux Limo,191,-,343,344,96,8.7,2,8.7,1.9,47,-,-
2020-05,Green,"1,850","38,440",830,819,405,15.3,3.7,15.3,3.7,16.5,73%,-
2020-05,Yellow,"11,237","206,533","2,603","2,609","1,298",15.4,5.7,15.9,5.6,11.9,67%,-
2020-04,FHV - Black Car,"5,103", - ,"2,413","2,425",982,12.2,4.1,12.2,4.1,19,-,-
2020-04,FHV - High Volume,"143,762", - ,"22,390","22,527","11,544",15.4,6.1,15.6,6.1,13,-,-
2020-04,FHV - Livery,"10,719", - ,"2,816","2,794","1,447",15.5,5.1,15.6,5,13,-,-
2020-04,FHV - Lux Limo,148, - ,319,337,75,6.7,1.9,7.1,1.9,48,-,-
2020-04,Green,"1,186","22,495",669,669,278,12.5,3.4,12.6,3.4,14.5,66%,-
2020-04,Yellow,"7,928","119,078","2,208","2,191",982,13.5,5.3,13.8,5.1,9.9,63%,-
2020-03,FHV - Black Car,"13,708", - ,"8,345","8,342","2,917",10.8,3.8,10.9,3.8,24,-,-
2020-03,FHV - High Volume,"432,027", - ,"76,604","75,506","35,735",14.7,6.1,14.6,6,16,-,"41,051"
2020-03,FHV - Livery,"25,153", - ,"7,553","7,315","3,689",15.6,5,15.4,4.9,16,-,-
2020-03,FHV - Lux Limo,"1,060", - ,"2,194","2,063",531,8,2,7.8,1.9,61,-,-
2020-03,Green,"7,205","113,973","2,692","2,560","1,248",15.1,4.4,14.7,4.3,15.2,63%,-
2020-03,Yellow,"96,993","1,620,345","19,062","11,313","6,161",16.9,8.8,13.2,6.7,13,75%,-
2020-02,FHV - Black Car,"20,412", - ,"8,415","8,403","4,238",14.6,3.9,14.7,3.9,27,-,-
2020-02,FHV - High Volume,"749,129", - ,"79,282","78,090","55,139",20.5,6.6,20.5,6.5,17,-,"97,117"
2020-02,FHV - Livery,"34,822", - ,"7,227","6,969","4,864",20.2,5.3,19.9,5.2,17,-,-
2020-02,FHV - Lux Limo,"2,472", - ,"2,472","2,343","1,071",13.3,2.3,13.1,2.2,63,-,-
2020-02,Green,"13,743","240,822","2,843","2,674","2,006",21.8,5,20.9,4.9,15.4,44%,-
2020-02,Yellow,"217,216","3,556,087","20,123","11,418","10,349",26.3,10.8,20.9,7.7,13.5,75%,-
2020-01,FHV - Black Car,"22,195", - ,"8,625","8,634","4,409",15.8,4,15.9,4,25,-,-
2020-01,FHV - High Volume,"663,433", - ,"80,725","79,288","53,606",21,6.2,20.9,6.1,17,-,"90,550"
2020-01,FHV - Livery,"35,036", - ,"7,548","7,305","4,905",20.8,5.2,20.5,5.1,17,-,-
2020-01,FHV - Lux Limo,"2,079", - ,"2,162","2,128",908,13.2,2.3,13.4,2.2,59,-,-
2020-01,Green,"13,446","236,992","2,876","2,703","1,997",22.9,5,22,4.9,15.3,44%,-
2020-01,Yellow,"206,604","3,403,736","20,131","11,435","10,080",27.3,10.5,21.7,7.5,13.1,73%,-
2019-12,FHV - Black Car,"18,498",-,"8,019","7,994","3,873",15,3.8,15.1,3.8,29,-,-
2019-12,FHV - High Volume,"717,497",-,"82,527","80,924","55,796",21.4,6.5,21,6.4,18,-,"93,421"
2019-12,FHV - Livery,"38,401",-,"7,936","7,698","5,316",21.4,5.3,21.2,5.2,18,-,-
2019-12,FHV - Lux Limo,"2,555",-,"2,548","2,536","1,069",13.1,2.4,13.3,2.3,70,-,-
2019-12,Green,"11,598","162,078","2,904","2,731","1,834",20.8,4.4,20,4.4,13.6,53%,-
2019-12,Yellow,"220,786","3,806,944","20,829","11,478","10,260",27.7,10.7,21.7,7.5,15,71%,-
2019-11,FHV - Black Car,"16,612", -   ,"7,237","7,219","3,645",15.2,3.7,15.2,3.7,28,-,-
2019-11,FHV - High Volume,"721,170", -   ,"83,017","81,286","57,241",21.1,6.5,21,6.4,19,-,"103,379"
2019-11,FHV - Livery,"35,889", -   ,"7,524","7,293","5,086",20.9,5.2,20.7,5.1,18,-,-
2019-11,FHV - Lux Limo,"2,017", -   ,"1,853","1,776",835,14.1,2.4,14,2.3,67,-,-
2019-11,Green,"12,068","170,328","2,969","2,781","1,904",20.5,4.5,19.7,4.4,13.8,55%,-
2019-11,Yellow,"227,654","3,872,769","20,934","11,431","10,441",27.4,11,21.7,7.6,14.8,73%,-
2019-10,FHV - Black Car,"16,245", -   ,"7,120","7,071","3,757",16.5,3.6,16.4,3.6,29,-,-
2019-10,FHV - High Volume,"682,635",  -    ,"83,865","82,051","57,764",21.8,6.4,21.7,6.3,19,0%,"107,676"
2019-10,FHV - Livery,"38,855", -   ,"8,217","7,920","5,503",21.5,5.2,21.2,5.1,18,-,-
2019-10,FHV - Lux Limo,"3,105", -   ,"2,682","2,530","1,256",15.4,2.4,15.1,2.4,69,-,-
2019-10,Green,"12,470","178,014","3,004","2,818","1,990",21.9,4.5,21,4.4,14,56%,-
2019-10,Yellow,"231,171","4,006,128","20,880","11,380","10,476",28.5,11.2,22.5,7.7,15.1,73%,-
2019-09,FHV - Black Car,"12,373", -   ,"5,499","5,417","2,846",15.8,3.5,15.6,3.5,32,-,-
2019-09,FHV - High Volume,"668,520",  -    ,"84,306","82,206","56,795",20.7,6.4,20.5,6.2,19,-,"107,780"
2019-09,FHV - Livery,"19,312", -   ,"4,183","3,979","2,633",19.9,5.3,19.2,5.2,21,-,-
2019-09,FHV - Lux Limo,"2,739", -   ,"2,522","2,402","1,098",13.7,2.5,13.5,2.4,75,-,-
2019-09,Green,"12,985","190,621","3,033","2,856","2,048",21.5,4.6,20.6,4.5,14.3,55%,-
2019-09,Yellow,"217,747","3,814,692","20,369","11,302","10,066",26.7,10.9,21,7.7,16,72%,-
2019-08,FHV - Black Car,"12,787", -   ,"5,874","5,845","2,964",15.7,3.4,15.7,3.4,32,-,-
2019-08,FHV - High Volume,"648,961", - ,"83,709","82,693","55,289",20.8,6.3,20.8,6.2,18,-,"104,983"
2019-08,FHV - Livery,"38,815", -   ,"8,104","7,824","5,441",21.6,5.3,21.3,5.2,18,-,-
2019-08,FHV - Lux Limo,"2,099", -   ,"2,389","2,311",969,13,2.1,12.9,2.1,73,-,-
2019-08,Green,"12,866","188,318","3,033","2,841","2,011",22,4.6,20.9,4.6,13.9,54%,-
2019-08,Yellow,"194,798","3,385,162","19,583","11,237","9,741",26.9,10.4,21.4,7.5,14.3,70%,-
2019-07,FHV - Black Car,"13,993",-,"5,995","5,968","2,914",15.1,3.7,15.1,3.7,29,-,-
2019-07,FHV - High Volume,"654,230",-,"85,896","84,609","57,048",21,6.2,20.9,6.1,18,-,"104,074"
2019-07,FHV - Livery,"41,492",-,"8,474","8,150","5,682",21.6,5.3,21.3,5.2,18,-,-
2019-07,FHV - Lux Limo,"2,013",-,"2,105","2,013",881,13.6,2.3,13.4,2.2,73,-,-
2019-07,Green,"13,969","205,934","3,179","2,985","2,125",22.1,4.7,21.1,4.6,14.2,55%,-
2019-07,Yellow,"202,443","3,501,565","20,206","11,366","9,894",27,10.5,21.4,7.5,14.5,70%,-
2019-06,FHV - Black Car,"14,233", -   ,"5,876","5,858","2,988",15.3,3.7,15.3,3.7,29,-,-
2019-06,FHV - High Volume,"700,036", -   ,"87,131","85,712","58,847",20.7,6.3,20.6,5.8,19,-,"101,645"
2019-06,FHV - Livery,"43,938", -   ,"8,569","8,224","5,856",21.4,5.4,21.1,5.3,18,-,-
2019-06,FHV - Lux Limo,"2,276", -   ,"2,124","2,140",993,13.9,2.3,14.1,2.3,71,-,-
2019-06,Green,"15,690","235,578","3,292","3,080","2,216",21.6,5,20.7,4.8,15,55%,-
2019-06,Yellow,"231,335","4,042,788","20,728","11,533","10,274",26.7,11,21.3,7.7,15.1,72%,-
2019-05,FHV - Black Car,"16,186", -   ,"6,211","6,171","3,237",16.3,3.9,16.2,3.8,27,-,-
2019-05,FHV - High Volume,"720,263", -   ,"87,719","86,391","59,902",21.6,6.2,21.5,6.2,19,-,"124,106"
2019-05,FHV - Livery,"44,781", -   ,"8,581","8,228","5,868",22.1,5.5,21.7,5.3,17,-,-
2019-05,FHV - Lux Limo,"2,657", -   ,"2,245","2,256","1,100",15.1,2.4,15.1,2.4,70,-,-
2019-05,Green,"16,248","243,583","3,393","3,170","2,351",23,4.8,22,4.7,15.1,56%,-
2019-05,Yellow,"244,017","4,214,808","21,042","11,689","10,494",27.8,11.2,22.3,7.7,14.9,72%,-
2019-04,FHV - Black Car,"15,660", -   ,"5,824","5,795","3,126",16.2,3.9,16.2,3.8,27,-,-
2019-04,FHV - High Volume,"724,388",0,"87,779","86,463","59,121",20.6,6.3,20.5,6.2,19,-,"141,734"
2019-04,FHV - Livery,"44,846", -   ,"8,469","8,175","5,844",21.4,5.5,21.1,5.4,17,-,-
2019-04,FHV - Lux Limo,"2,584", -   ,"2,374","2,391","1,118",14,2.3,14.1,2.3,67,-,-
2019-04,Green,"17,080","249,506","3,508","3,249","2,423",22.4,4.9,21.2,4.8,14.3,57%,-
2019-04,Yellow,"247,742","4,215,927","21,595","11,786","10,674",27.2,11.3,21.4,7.8,14.3,72%,-
2019-03,FHV - Black Car,"8,778", -   ,"4,513","4,498","1,916",13.2,3.5,13.3,3.5,23,-,-
2019-03,FHV - High Volume,"769,729", -   ,"87,695","86,540","59,893",21.6,6.4,21.5,6.4,19,-,"157,704"
2019-03,FHV - Livery,"32,099", -   ,"8,216","7,918","4,737",18.5,4.9,18.3,4.8,17,-,-
2019-03,FHV - Lux Limo,"1,513", -   ,"1,786","1,799",698,12,2.1,12,2.1,62,-,-
2019-03,Green,"19,318","305,302","3,586","3,296","2,524",23.7,5.4,22.3,5.2,15.8,60%,-
2019-03,Yellow,"252,634","4,289,036","21,956","11,912","10,814",28.1,11.4,22.3,7.9,14.1,73%,-
2019-02,FHV - Black Car,"13,692", -   ,"5,129","5,103","2,811",15.4,3.8,15.4,3.8,28,-,-
2019-02,FHV - High Volume,"719,853", -   ,"86,296","85,403","58,980",19.5,6.3,19.4,6.2,18,-,"171,912"
2019-02,FHV - Livery,"44,638", -   ,"8,776","8,440","5,992",19.9,5.4,19.6,5.3,17,-,
2019-02,FHV - Lux Limo,"2,467", -   ,"2,147","2,142","1,034",13.5,2.4,13.6,2.3,65,-,
2019-02,Green,"20,481","325,509","3,626","3,385","2,651",21.9,5.4,20.9,5.3,15.7,62%,-
2019-02,Yellow,"250,654","4,105,322","21,733","11,895","10,770",25.4,11.3,20.1,7.8,13.6,74%,-
2019-01,FHV - Black Car,"15,024", -   ,"6,111","6,072","3,156",16.1,3.7,16.1,3.7,27,-,104
2019-01,FHV - High Volume,"683,692", -   ,"86,715","84,698","56,530",20.7,6.2,20.5,6.1,18,-,"157,678"
2019-01,FHV - Livery,"41,974", -   ,"8,717","8,368","5,834",21.6,5.3,21.1,5.2,17,-,30
2019-01,FHV - Lux Limo,"2,573", -   ,"2,675","2,533","1,137",13.9,2.2,13.7,2.2,63,-,-
2019-01,Green,"20,327","309,210","3,705","3,442","2,642",23.8,5.4,22.6,5.3,15,62%, - 
2019-01,Yellow,"247,315","3,413,625","22,085","11,867","10,582",27.6,11.1,21.5,7.7,12.8,72%, - 
2018-12,FHV - Black Car,"16,120",-,"7,321","7,286","3,463",14.7,3.6,14.8,3.6,30,-,128
2018-12,FHV - High Volume,"701,180",-,"86,788","85,146","56,844",20.7,6.3,20.6,6.2,20,-,"164,666"
2018-12,FHV - Livery,"48,951",-,"9,682","9,247","6,460",21.7,5.5,21.2,5.3,18,-,35
2018-12,FHV - Lux Limo,"3,025",-,"3,083","2,991","1,260",13.1,2.4,13.1,2.3,70,-,-
2018-12,Green,"22,083","341,294","3,777","3,468","2,720",24.3,5.6,22.9,5.4,15.7,59%,-
2018-12,Yellow,"263,609","3,852,809","23,042","11,938","10,803",28.1,11.5,21.7,7.7,14.7,68%,-
2018-11,FHV - Black Car,"17,791",-,"7,362","7,340","3,891",15.9,3.6,15.9,3.6,30,-,"17,734"
2018-11,FHV - High Volume,"691,379",-,"85,496","83,271","56,908",20.5,6.3,20.3,6.2,20,-,"160,672"
2018-11,FHV - Livery,"47,205",-,"9,584","9,195","6,464",21.1,5.4,20.7,5.2,18,-,36
2018-11,FHV - Lux Limo,"3,622",-,"2,960","2,832","1,364",14.5,2.5,14.2,2.4,71,-,-
2018-11,Green,"21,858","344,302","3,767","3,490","2,742",23.6,5.5,22.3,5.4,16.4,61%,-
2018-11,Yellow,"271,501","4,035,397","23,459","11,948","11,040",27.7,11.8,21.4,7.8,15.2,70%,-
2018-10,FHV - Black Car,"18,364",-,"7,582","7,476","3,933",16.3,3.6,16.3,3.6,34,-,158
2018-10,FHV - High Volume,"680,433",-,"84,660","82,247","56,538",21.3,6.3,21,6.2,21,-,"176,348"
2018-10,FHV - Livery,"44,990",-,"9,558","9,182","6,382",21.5,5.3,21.2,5.2,19,-,34
2018-10,FHV - Lux Limo,"3,467",-,"2,835","2,696","1,384",15.9,2.5,15.6,2.4,71,-,-
2018-10,Green,"22,889","360,292","3,827","3,523","2,796",24.6,5.7,23.2,5.6,16.3,60%,-
2018-10,Yellow,"284,121","4,267,309","23,600","12,009","11,151",28.8,12,22.2,7.9,15.2,71%,-
2018-09,FHV - Black Car,"15,159",-,"6,183","6,140","3,232",15.8,3.7,15.7,3.7,32,-,291
